"Row Type","Action","Keyword status","Campaign ID","Campaign","Ad group ID","Ad group","Keyword ID","Keyword","Type","Label","Default max. CPC","Max. CPV","Final URL","Mobile final URL","Final URL suffix","Tracking template","Custom parameter"
"Keyword","Add","Enabled","","StecStats - Search","","Problem Aware","","how to track basketball stats","Phrase match","Problem-Aware","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Problem Aware","","basketball stats spreadsheet alternative","Phrase match","Problem-Aware","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Problem Aware","","replace paper scorebook basketball","Broad match","Problem-Aware","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Problem Aware","","digital basketball scorebook","Phrase match","Problem-Aware","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Problem Aware","","basketball player development tracking","Phrase match","Problem-Aware","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Problem Aware","","share basketball stats with family","Phrase match","Problem-Aware","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Competitor Adjacent","","hudl alternative youth basketball","Phrase match","Competitor Adjacent","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Competitor Adjacent","","statscore basketball app","Broad match","Competitor Adjacent","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Competitor Adjacent","","basketball reference app","Broad match","Competitor Adjacent","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Competitor Adjacent","","gameday basketball app alternative","Broad match","Competitor Adjacent","","","https://stecstats.com","","","",""
